customer_id,churn,tenure,monthly_charges,total_charges,contract,payment_method,feedback,sentiment,topic
CUST024,True,3,2900000.0,8700000.0,month-to-month,mailed check,Quality has gone down,negative,product quality
CUST025,False,21,2600000.0,54600000.0,two year,credit card,Very satisfied with my subscription,positive,general feedback
CUST026,True,2,3105000.0,6300000.0,month-to-month,electronic check,Poor delivery service,negative,delivery issues
CUST027,False,12,2800000.0,33600000.0,one year,bank transfer,Lovely and fresh bouquets,positive,product quality
CUST028,True,6,3200000.0,19200000.0,month-to-month,credit card,Unresponsive customer service,negative,customer service
CUST029,False,23,25990000.0,597770.0,two year,mailed check,Great value for money,positive,price appreciation
CUST030,True,5,3400000.0,17000000.0,month-to-month,electronic check,Selection is not good,negative,bouquet preferences
CUST031,False,13,2900000.0,37700000.0,one year,credit card,Always a pleasant surprise,positive,general feedback
CUST032,False,7,3005000.0,21305000.0,month-to-month,mailed check,Overpriced for what you get,negative,price complaints
CUST033,False,26,2700000.0,70200000.0,two year,bank transfer,The quality is consistently high,positive,product quality
CUST034,False,8,3300000.0,26400000.0,month-to-month,credit card,Not happy with the flower choices,negative,bouquet preferences
CUST035,False,24,2605000.0,63600000.0,two year,electronic check,Love the convenience and quality,positive,general feedback
CUST036,True,4,3100000.0,12400000.0,month-to-month,mailed check,Delivery was unreliable,negative,delivery issues
CUST037,True,15,2805000.0,42705000.0,one year,bank transfer,Flowers are gorgeous every time,positive,product quality
CUST038,True,1,3500000.0,3500000.0,month-to-month,credit card,Not impressed with the service,negative,customer service
CUST039,True,29,2500000.0,72500000.0,two year,electronic check,So happy I found this service,positive,general feedback
CUST040,False,9,3405000.0,31005000.0,month-to-month,mailed check,Expected better quality,negative,product quality
CUST041,False,18,27990000.0,503820.0,one year,bank transfer,Consistently amazing bouquets,positive,general feedback
CUST042,False,6,3000000.0,18000000.0,month-to-month,credit card,Too expensive for the offer,negative,price complaints
CUST043,False,20,2705000.0,55000000.0,two year,mailed check,Love the bouquet designs,positive,bouquet preferences
CUST044,False,3,2900000.0,8700000.0,month-to-month,electronic check,Delivery delays were frustrating,negative,delivery issues
CUST045,False,14,2805000.0,39900000.0,one year,bank transfer,Always a joy to receive,positive,general feedback
CUST046,False,2,3205000.0,6500000.0,month-to-month,credit card,Flowers did not meet expectations,negative,product quality
CUST047,False,17,26990000.0,458830.0,one year,electronic check,Subscription is a great gift idea,positive,general feedback
CUST048,False,7,3100000.0,21700000.0,month-to-month,mailed check,Not satisfied with the arrangements,negative,bouquet preferences
CUST049,True,22,2600000.0,57200000.0,two year,bank transfer,Very reliable and high quality,positive,product quality
CUST050,False,8,3300000.0,26400000.0,month-to-month,credit card,Service not as expected,negative,customer service
CUST051,False,11,2805000.0,31305000.0,one year,credit card,Always pleased with the bouquets,positive,general feedback
CUST052,False,6,3400000.0,20400000.0,month-to-month,electronic check,Subpar flower quality,negative,product quality
CUST053,False,19,2700000.0,51300000.0,two year,bank transfer,Best subscription I've ever had,positive,general feedback
CUST054,False,1,3505000.0,3505000.0,month-to-month,mailed check,Unsatisfactory delivery service,negative,delivery issues
CUST055,False,24,26990000.0,647760.0,one year,credit card,Flowers bring joy every month,positive,general feedback
CUST056,False,3,3000000.0,9000000.0,month-to-month,electronic check,Too costly for the quality provided,negative,price complaints
CUST057,False,16,2800000.0,44800000.0,two year,bank transfer,Exceptional service and products,positive,general feedback
CUST058,False,7,3200000.0,22400000.0,month-to-month,mailed check,Flowers did not look fresh,negative,product quality
CUST059,False,20,2705000.0,55000000.0,one year,credit card,Consistent quality every time,positive,product quality
CUST060,True,10,3305000.0,33500000.0,month-to-month,electronic check,Unreliable delivery times,negative,delivery issues
CUST061,False,25,2500000.0,62500000.0,two year,bank transfer,Great customer service,positive,customer service
CUST062,True,2,3100000.0,6200000.0,month-to-month,mailed check,Selection is limited,negative,bouquet preferences
CUST063,False,13,2905000.0,38305000.0,one year,credit card,Flowers always arrive in perfect condition,positive,delivery quality
CUST064,True,8,3500000.0,28000000.0,month-to-month,electronic check,Expensive compared to others,negative,price complaints
CUST065,False,26,2700000.0,70200000.0,two year,bank transfer,Subscription is worth every penny,positive,price appreciation
CUST066,True,9,3405000.0,31005000.0,month-to-month,mailed check,Quality has decreased recently,negative,product quality
CUST067,False,12,2805000.0,34200000.0,one year,credit card,Very happy with the flower variety,positive,bouquet preferences
CUST068,True,4,3000000.0,12000000.0,month-to-month,electronic check,Not enough value for the price,negative,price complaints
CUST069,False,17,2705000.0,46705000.0,two year,bank transfer,Always satisfied with my order,positive,general feedback
CUST070,True,5,3100000.0,15500000.0,month-to-month,mailed check,Delivery service needs improvement,negative,delivery issues
CUST071,False,21,2605000.0,55605000.0,one year,credit card,Excellent bouquet designs,positive,bouquet preferences
CUST072,True,3,2900000.0,8700000.0,month-to-month,electronic check,Poor customer support,negative,customer service
CUST073,False,14,2900000.0,40600000.0,two year,bank transfer,High-quality flowers every time,positive,product quality
CUST074,True,6,3200000.0,19200000.0,month-to-month,mailed check,Too pricey for what's offered,negative,price complaints
CUST075,False,23,2600000.0,59800000.0,one year,credit card,Always a pleasant surprise,positive,general feedback
CUST076,True,7,3305000.0,23405000.0,month-to-month,electronic check,Flowers wilted too quickly,negative,product quality
CUST077,False,18,2800000.0,50400000.0,two year,bank transfer,Flowers are always vibrant,positive,product quality
CUST078,True,8,3100000.0,24800000.0,month-to-month,mailed check,Expected better customer service,negative,customer service
CUST079,False,15,27990000.0,419850.0,one year,credit card,Delightful bouquets every month,positive,bouquet preferences
CUST080,True,9,3400000.0,30600000.0,month-to-month,electronic check,Flowers not as advertised,negative,product quality
CUST081,False,10,3005000.0,30500000.0,one year,mailed check,Consistently great service,positive,general feedback
CUST082,True,1,3505000.0,3505000.0,month-to-month,bank transfer,Not satisfied with flower quality,negative,product quality
CUST083,False,22,2505000.0,56100000.0,two year,credit card,Excellent value for money,positive,price appreciation
CUST084,True,11,3200000.0,35200000.0,month-to-month,mailed check,Delivery was inconsistent,negative,delivery issues
CUST085,False,20,2700000.0,54000000.0,one year,bank transfer,Love the unique arrangements,positive,bouquet preferences
CUST086,True,2,3000000.0,6000000.0,month-to-month,electronic check,Too expensive for the bouquet size,negative,price complaints
CUST087,False,19,26990000.0,512810.0,two year,credit card,Happy with every delivery,positive,delivery quality
CUST088,True,12,3405000.0,41400000.0,month-to-month,mailed check,Customer service was lacking,negative,customer service
CUST089,False,13,2900000.0,37700000.0,one year,bank transfer,Flowers always exceed expectations,positive,product quality
CUST090,True,3,3100000.0,9300000.0,month-to-month,credit card,Not impressed with the selection,negative,bouquet preferences
CUST091,False,24,2605000.0,63600000.0,two year,electronic check,Always look forward to my delivery,positive,general feedback
CUST092,True,4,3005000.0,12200000.0,month-to-month,mailed check,Prices are too high for the quality,negative,price complaints
CUST093,False,17,2705000.0,46705000.0,one year,bank transfer,The best flower subscription service,positive,general feedback
CUST094,True,5,3200000.0,16000000.0,month-to-month,credit card,Flowers didn't last as expected,negative,product quality
CUST095,False,21,2600000.0,54600000.0,two year,electronic check,Extremely satisfied with my orders,positive,general feedback
CUST096,True,6,3305000.0,20100000.0,month-to-month,mailed check,Delivery timing is unpredictable,negative,delivery issues
CUST097,False,14,2805000.0,39900000.0,one year,bank transfer,Amazing quality and service,positive,general feedback
CUST098,True,7,3000000.0,21000000.0,month-to-month,electronic check,Expected more variety in bouquets,negative,bouquet preferences
CUST099,False,18,27990000.0,503820.0,two year,credit card,Very happy with the subscription,positive,general feedback
CUST100,True,8,3100000.0,24800000.0,month-to-month,mailed check,Customer service could be better,negative,customer service
CUST101,False,9,3005000.0,27405000.0,one year,credit card,Love the monthly surprises,positive,general feedback
CUST102,True,1,3500000.0,3500000.0,month-to-month,electronic check,Disappointed with the flower quality,negative,product quality
CUST103,False,22,2600000.0,57200000.0,two year,bank transfer,Exceptional customer service,positive,customer service
CUST104,True,2,3100000.0,6200000.0,month-to-month,mailed check,Not worth the monthly cost,negative,price complaints
CUST105,False,13,2900000.0,37700000.0,one year,credit card,Always satisfied with the bouquets,positive,bouquet preferences
CUST106,True,3,3005000.0,9105000.0,month-to-month,electronic check,Delivery times were inconsistent,negative,delivery issues
CUST107,False,24,2605000.0,63600000.0,two year,bank transfer,Quality has always been top-notch,positive,product quality
CUST108,True,7,3305000.0,23405000.0,month-to-month,mailed check,Customer service was unhelpful,negative,customer service
CUST109,False,18,27990000.0,503820.0,one year,credit card,Each bouquet is a masterpiece,positive,bouquet preferences
CUST110,True,8,3100000.0,24800000.0,month-to-month,electronic check,Prices are too high for the offering,negative,price complaints
CUST111,False,15,2805000.0,42705000.0,one year,bank transfer,Flowers are always fresh and beautiful,positive,product quality
CUST112,True,4,3000000.0,12000000.0,month-to-month,mailed check,Selection didn't meet my expectations,negative,bouquet preferences
CUST113,False,20,2705000.0,55000000.0,two year,credit card,Reliable delivery every month,positive,delivery quality
CUST114,True,6,3200000.0,19200000.0,month-to-month,electronic check,Not satisfied with the bouquet variety,negative,bouquet preferences
CUST115,False,11,2805000.0,31305000.0,one year,bank transfer,Highly recommend this subscription,positive,general feedback
CUST116,True,5,3400000.0,17000000.0,month-to-month,mailed check,Flowers wilted quickly,negative,product quality
CUST117,False,17,2700000.0,45900000.0,two year,credit card,Very happy with the flower quality,positive,product quality
CUST118,True,9,3305000.0,30105000.0,month-to-month,electronic check,Expensive compared to quality received,negative,price complaints
CUST119,False,10,3000000.0,30000000.0,one year,bank transfer,Always a delightful experience,positive,general feedback
CUST120,True,3,2905000.0,8805000.0,month-to-month,mailed check,Delivery service was poor,negative,delivery issues
CUST121,False,21,2605000.0,55605000.0,two year,credit card,Impressed with the variety,positive,bouquet preferences
CUST122,True,1,3505000.0,3505000.0,month-to-month,electronic check,Not happy with the overall service,negative,customer service
CUST123,False,14,2900000.0,40600000.0,one year,bank transfer,The bouquets are always stunning,positive,product quality
CUST124,True,2,3100000.0,6200000.0,month-to-month,mailed check,Too costly for the bouquet size,negative,price complaints
CUST125,False,23,2600000.0,59800000.0,two year,electronic check,Subscription is a great value,positive,price appreciation
CUST126,True,7,3200000.0,22400000.0,month-to-month,credit card,Unsatisfied with the flower freshness,negative,product quality
CUST127,False,19,2800000.0,53200000.0,one year,bank transfer,Flowers always exceed my expectations,positive,product quality
CUST128,True,8,3005000.0,24400000.0,month-to-month,mailed check,Expected more for the price,negative,price complaints
CUST129,False,16,27990000.0,447840.0,one year,credit card,Very reliable subscription service,positive,general feedback
CUST130,True,4,3400000.0,13600000.0,month-to-month,electronic check,Not enough flower variety,negative,bouquet preferences
CUST131,False,25,2500000.0,62500000.0,two year,bank transfer,Consistently excellent bouquets,positive,bouquet preferences
CUST132,True,6,3100000.0,18600000.0,month-to-month,mailed check,Delivery was often delayed,negative,delivery issues
CUST133,False,12,2905000.0,35400000.0,one year,credit card,Happy with every delivery,positive,delivery quality
CUST134,True,10,3305000.0,33500000.0,month-to-month,electronic check,Quality not as expected,negative,product quality
CUST135,False,13,2800000.0,36400000.0,one year,bank transfer,Subscription is a lovely treat,positive,general feedback
CUST136,True,3,3000000.0,9000000.0,month-to-month,mailed check,"The customer service was extremely slow and unhelpful, leaving me disappointed with the shopping experience.",negative,customer service
CUST137,False,22,2605000.0,58300000.0,two year,credit card,Great customer care and products,positive,customer service
CUST138,True,5,3200000.0,16000000.0,month-to-month,electronic check,Too expensive for the quality,negative,price complaints
CUST139,False,17,2700000.0,45900000.0,one year,bank transfer,High-quality flowers every month,positive,product quality
CUST140,True,7,3100000.0,21700000.0,month-to-month,mailed check,Flower freshness was disappointing,negative,product quality
CUST141,False,20,2705000.0,55000000.0,two year,credit card,Always impressed with the bouquets,positive,bouquet preferences
CUST142,True,8,3400000.0,27200000.0,month-to-month,electronic check,Not worth the monthly fee,negative,price complaints
CUST143,False,11,2805000.0,31305000.0,one year,mailed check,Consistently great flower quality,positive,product quality
CUST144,True,9,3305000.0,30105000.0,month-to-month,bank transfer,Service didn't meet expectations,negative,customer service
CUST145,False,15,3000000.0,45000000.0,one year,credit card,Flowers always arrive in perfect condition,positive,delivery quality
CUST146,True,2,2900000.0,5800000.0,month-to-month,mailed check,Prices are too high for the offering,negative,price complaints
CUST147,False,24,26990000.0,647760.0,two year,electronic check,Love the surprise each month,positive,general feedback
CUST148,True,6,3205000.0,19500000.0,month-to-month,credit card,Delivery was unreliable,negative,delivery issues
CUST149,False,18,2800000.0,50400000.0,one year,bank transfer,Exceptional variety and quality,positive,bouquet preferences
CUST150,True,3,3100000.0,9300000.0,month-to-month,electronic check,Customer support was lacking,negative,customer service
CUST151,False,21,2605000.0,55605000.0,two year,mailed check,Always a beautiful selection,positive,bouquet preferences
CUST152,True,1,3505000.0,3505000.0,month-to-month,credit card,Not impressed with the flower quality,negative,product quality
CUST153,False,14,2900000.0,40600000.0,one year,bank transfer,Subscription brings joy every month,positive,general feedback
CUST154,True,2,3100000.0,6200000.0,month-to-month,electronic check,Too expensive for what's offered,negative,price complaints
CUST155,False,23,2600000.0,59800000.0,two year,credit card,Consistently high-quality flowers,positive,product quality
CUST156,True,3,3005000.0,9105000.0,month-to-month,mailed check,Disappointed with the bouquet variety,negative,bouquet preferences
CUST157,False,19,2800000.0,53200000.0,one year,electronic check,Delightful bouquets every time,positive,bouquet preferences
CUST158,True,4,3400000.0,13600000.0,month-to-month,bank transfer,Delivery was often late,negative,delivery issues
CUST159,False,16,27990000.0,447840.0,one year,credit card,Love the surprise each month,positive,general feedback
CUST160,True,5,3200000.0,16000000.0,month-to-month,electronic check,Expected better flower quality,negative,product quality
CUST161,False,20,2705000.0,55000000.0,two year,mailed check,Great service and flower quality,positive,general feedback
CUST162,True,6,3100000.0,18600000.0,month-to-month,bank transfer,Not satisfied with the delivery service,negative,delivery issues
CUST163,False,25,2500000.0,62500000.0,one year,credit card,Flowers are stunning every time,positive,product quality
CUST164,True,7,3305000.0,23405000.0,month-to-month,mailed check,Too pricey for the bouquet size,negative,price complaints
CUST165,False,11,2805000.0,31305000.0,two year,bank transfer,Very pleased with the subscription,positive,general feedback
CUST166,True,8,3000000.0,24000000.0,month-to-month,credit card,Flowers didn't meet expectations,negative,product quality
CUST167,False,13,2905000.0,38305000.0,one year,electronic check,Exceptional value for money,positive,price appreciation
CUST168,True,9,3405000.0,31005000.0,month-to-month,bank transfer,Quality has decreased over time,negative,product quality
CUST169,False,10,3005000.0,30500000.0,two year,mailed check,Flowers are always fresh,positive,product quality
CUST170,True,2,3500000.0,7000000.0,month-to-month,credit card,Not happy with the delivery timing,negative,delivery issues
CUST171,False,12,2900000.0,34800000.0,one year,bank transfer,Always look forward to my delivery,positive,general feedback
CUST172,True,3,3000000.0,9000000.0,month-to-month,electronic check,Expensive for the quality offered,negative,price complaints
CUST173,False,22,2605000.0,58300000.0,two year,credit card,Happy with every bouquet,positive,product quality
CUST174,True,4,3100000.0,12400000.0,month-to-month,mailed check,Unsatisfied with the flower choices,negative,bouquet preferences
CUST175,False,17,2700000.0,45900000.0,one year,bank transfer,Flowers always exceed my expectations,positive,product quality
CUST176,True,5,3205000.0,16205000.0,month-to-month,credit card,Delivery service needs improvement,negative,delivery issues
CUST177,False,18,2800000.0,50400000.0,two year,electronic check,Great quality and service,positive,general feedback
CUST178,True,6,3300000.0,19800000.0,month-to-month,bank transfer,Not enough variety in bouquets,negative,bouquet preferences
CUST179,False,14,2905000.0,41300000.0,one year,mailed check,Consistently impressed with the quality,positive,product quality
CUST180,True,7,3005000.0,21305000.0,month-to-month,credit card,Flowers did not last long,negative,product quality
CUST181,False,20,2705000.0,55000000.0,two year,electronic check,Always a pleasant surprise,positive,general feedback
CUST182,True,8,3100000.0,24800000.0,month-to-month,mailed check,Expensive for the bouquet size,negative,price complaints
CUST183,False,11,2805000.0,31305000.0,one year,bank transfer,Highly satisfied with the service,positive,general feedback
CUST184,True,9,3400000.0,30600000.0,month-to-month,credit card,Quality not as good as expected,negative,product quality
CUST185,False,12,2900000.0,34800000.0,two year,electronic check,Love the variety each month,positive,bouquet preferences
CUST186,True,3,3000000.0,9000000.0,month-to-month,mailed check,Disappointed with the customer service,negative,customer service
CUST187,False,15,27990000.0,419850.0,one year,credit card,Flowers are always top quality,positive,product quality
CUST188,True,4,3200000.0,12800000.0,month-to-month,bank transfer,Prices are too high for the quality,negative,price complaints
CUST189,False,16,2800000.0,44800000.0,two year,mailed check,Subscription is worth every penny,positive,price appreciation
CUST190,True,5,3305000.0,16705000.0,month-to-month,credit card,Not satisfied with the flower freshness,negative,product quality
CUST191,False,21,2605000.0,55605000.0,one year,bank transfer,Excellent variety and freshness,positive,bouquet preferences
CUST192,True,6,3005000.0,18300000.0,month-to-month,mailed check,Delivery was inconsistent,negative,delivery issues
CUST193,False,17,2700000.0,45900000.0,two year,credit card,Happy with the bouquet designs,positive,bouquet preferences
CUST194,True,7,3100000.0,21700000.0,month-to-month,electronic check,Expected more variety,negative,bouquet preferences
CUST195,False,18,2805000.0,51300000.0,one year,bank transfer,Great customer service,positive,customer service
CUST196,True,8,3405000.0,27600000.0,month-to-month,mailed check,Too expensive for the offering,negative,price complaints
CUST197,False,19,2705000.0,52205000.0,two year,credit card,Consistently happy with my orders,positive,general feedback
CUST198,True,9,3000000.0,27000000.0,month-to-month,bank transfer,Quality not as advertised,negative,product quality
CUST199,False,10,2905000.0,29500000.0,one year,mailed check,Subscription brings happiness,positive,general feedback
CUST200,True,2,3500000.0,7000000.0,month-to-month,credit card,Not happy with the service,negative,customer service
CUST201,False,13,2900000.0,37700000.0,one year,bank transfer,Always a delightful surprise,positive,general feedback
CUST202,True,3,3005000.0,9105000.0,month-to-month,credit card,Quality has decreased recently,negative,product quality
CUST203,False,22,2605000.0,58300000.0,two year,mailed check,Highly recommend for flower lovers,positive,general feedback
CUST204,True,4,3100000.0,12400000.0,month-to-month,electronic check,Flowers not as fresh as expected,negative,product quality
CUST205,False,17,2700000.0,45900000.0,one year,credit card,Every bouquet is a work of art,positive,bouquet preferences
CUST206,True,5,3205000.0,16205000.0,month-to-month,bank transfer,Too pricey for the quality,negative,price complaints
CUST207,False,19,2800000.0,53200000.0,two year,mailed check,Subscription is a great gift,positive,general feedback
CUST208,True,6,3300000.0,19800000.0,month-to-month,credit card,Not satisfied with the variety,negative,bouquet preferences
CUST209,False,14,2905000.0,41300000.0,one year,electronic check,Excellent customer service,positive,customer service
CUST210,True,7,3005000.0,21305000.0,month-to-month,bank transfer,Delivery times were unpredictable,negative,delivery issues
CUST211,False,20,2705000.0,55000000.0,two year,mailed check,Love the monthly flower surprise,positive,general feedback
CUST212,True,8,3100000.0,24800000.0,month-to-month,credit card,Expected better quality bouquets,negative,product quality
CUST213,False,11,2805000.0,31305000.0,one year,bank transfer,Very satisfied with the service,positive,general feedback
CUST214,True,9,3400000.0,30600000.0,month-to-month,electronic check,Prices are too high for the offering,negative,price complaints
CUST215,False,15,27990000.0,419850.0,one year,credit card,The flowers are always beautiful,positive,product quality
CUST216,True,2,3000000.0,6000000.0,month-to-month,mailed check,Not enough flower choices,negative,bouquet preferences
CUST217,False,23,2600000.0,59800000.0,two year,credit card,Happy with every bouquet,positive,product quality
CUST218,True,3,2905000.0,8805000.0,month-to-month,bank transfer,Flowers didn't meet expectations,negative,product quality
CUST219,False,18,2800000.0,50400000.0,one year,mailed check,Always great service and quality,positive,general feedback
CUST220,True,4,3200000.0,12800000.0,month-to-month,credit card,Quality has declined,negative,product quality
CUST221,False,16,2705000.0,44000000.0,two year,electronic check,Subscription is a joy every month,positive,general feedback
CUST222,True,5,3305000.0,16705000.0,month-to-month,bank transfer,Expensive compared to quality,negative,price complaints
CUST223,False,12,2900000.0,34800000.0,one year,credit card,Flowers are consistently stunning,positive,product quality
CUST224,True,6,3005000.0,18300000.0,month-to-month,mailed check,Disappointed with the delivery service,negative,delivery issues
CUST225,False,21,2605000.0,55605000.0,two year,bank transfer,Very happy with the flower quality,positive,product quality
CUST226,True,7,3100000.0,21700000.0,month-to-month,credit card,Expected more for the price,negative,price complaints
CUST227,False,13,2805000.0,37005000.0,one year,mailed check,Subscription brings happiness,positive,general feedback
CUST228,True,8,3405000.0,27600000.0,month-to-month,bank transfer,Not satisfied with the flower freshness,negative,product quality
CUST229,False,10,3000000.0,30000000.0,two year,credit card,Flowers are a monthly delight,positive,general feedback
CUST230,True,2,3500000.0,7000000.0,month-to-month,mailed check,Too costly for the bouquet size,negative,price complaints
CUST231,False,15,27990000.0,419850.0,one year,bank transfer,Always satisfied with my orders,positive,general feedback
CUST232,True,3,2905000.0,8805000.0,month-to-month,credit card,Quality not as good as before,negative,product quality
CUST233,False,17,2800000.0,47600000.0,two year,electronic check,High-quality flowers every time,positive,product quality
CUST234,True,4,3200000.0,12800000.0,month-to-month,bank transfer,Not happy with the delivery timing,negative,delivery issues
CUST235,False,19,2705000.0,52205000.0,one year,mailed check,Great customer service and flowers,positive,general feedback
CUST236,True,5,3305000.0,16705000.0,month-to-month,credit card,Expected better bouquet variety,negative,bouquet preferences
CUST237,False,21,2605000.0,55605000.0,two year,credit card,Very pleased with every delivery,positive,delivery quality
CUST238,True,6,3005000.0,18300000.0,month-to-month,mailed check,Too expensive for what's offered,negative,price complaints
CUST239,False,12,2900000.0,34800000.0,one year,bank transfer,Consistently excellent service,positive,general feedback
CUST240,True,7,3100000.0,21700000.0,month-to-month,credit card,Flowers wilted too quickly,negative,product quality
CUST241,False,14,2905000.0,41300000.0,two year,electronic check,Subscription is a great value,positive,price appreciation
CUST242,True,8,3400000.0,27200000.0,month-to-month,mailed check,Disappointed with the flower freshness,negative,product quality
CUST243,False,10,3005000.0,30500000.0,one year,credit card,Flowers are always fresh and lovely,positive,product quality
CUST244,True,2,3505000.0,7100000.0,month-to-month,bank transfer,Not satisfied with the service,negative,customer service
CUST245,False,16,27990000.0,447840.0,two year,mailed check,Love the variety and quality,positive,bouquet preferences
CUST246,True,3,3000000.0,9000000.0,month-to-month,credit card,Quality not as advertised,negative,product quality
CUST247,False,18,2800000.0,50400000.0,one year,bank transfer,Always impressed with the bouquets,positive,general feedback
CUST248,True,4,3200000.0,12800000.0,month-to-month,mailed check,Expected more variety in bouquets,negative,bouquet preferences
CUST249,False,20,2705000.0,55000000.0,two year,credit card,Consistently happy with my orders,positive,general feedback
CUST250,True,5,3305000.0,16705000.0,month-to-month,electronic check,Too pricey for the bouquet size,negative,price complaints
CUST251,False,11,2805000.0,31305000.0,two year,bank transfer,Every bouquet is a delight,positive,general feedback
CUST252,True,1,3500000.0,3500000.0,month-to-month,credit card,Not happy with the flower quality,negative,product quality
CUST253,False,23,2600000.0,59800000.0,one year,mailed check,Subscription is worth every penny,positive,price appreciation
CUST254,True,2,3100000.0,6200000.0,month-to-month,electronic check,Too expensive for the quality,negative,price complaints
CUST255,False,14,2905000.0,41300000.0,two year,credit card,Flowers always exceed expectations,positive,product quality
CUST256,True,3,3005000.0,9105000.0,month-to-month,bank transfer,Unsatisfied with the bouquet variety,negative,bouquet preferences
CUST257,False,17,2700000.0,45900000.0,one year,electronic check,Happy with the service and quality,positive,general feedback
CUST258,True,4,3400000.0,13600000.0,month-to-month,mailed check,Flowers wilted quickly,negative,product quality
CUST259,False,19,2800000.0,53200000.0,two year,bank transfer,Always a pleasant surprise,positive,general feedback
CUST260,True,5,3200000.0,16000000.0,month-to-month,credit card,Expected more for the price,negative,price complaints
CUST261,False,12,2900000.0,34800000.0,one year,mailed check,Consistently great flower quality,positive,product quality
CUST262,True,6,3005000.0,18300000.0,month-to-month,electronic check,Delivery service was poor,negative,delivery issues
CUST263,False,22,2605000.0,58300000.0,two year,credit card,Highly recommend this service,positive,general feedback
CUST264,True,7,3100000.0,21700000.0,month-to-month,bank transfer,Not satisfied with the flower freshness,negative,product quality
CUST265,False,13,2805000.0,37005000.0,one year,electronic check,Always happy with the bouquets,positive,bouquet preferences
CUST266,True,8,3405000.0,27600000.0,month-to-month,mailed check,Prices are too high for the quality,negative,price complaints
CUST267,False,10,3000000.0,30000000.0,two year,bank transfer,Flowers are a monthly joy,positive,general feedback
CUST268,True,1,3505000.0,3505000.0,month-to-month,credit card,Disappointed with the service,negative,customer service
CUST269,False,15,27990000.0,419850.0,one year,mailed check,Very satisfied with every delivery,positive,delivery quality
CUST270,True,2,2905000.0,5900000.0,month-to-month,electronic check,Quality not as expected,negative,product quality
CUST271,False,18,2800000.0,50400000.0,two year,credit card,Subscription is a great value,positive,price appreciation
CUST272,True,3,3000000.0,9000000.0,month-to-month,bank transfer,Not happy with the bouquet choices,negative,bouquet preferences
CUST273,False,16,2705000.0,44000000.0,one year,electronic check,Flowers are always stunning,positive,product quality
CUST274,True,4,3200000.0,12800000.0,month-to-month,mailed check,Delivery was unreliable,negative,delivery issues
CUST275,False,20,2705000.0,55000000.0,two year,bank transfer,Great variety and quality,positive,bouquet preferences
CUST276,True,5,3305000.0,16705000.0,month-to-month,credit card,Too pricey for the bouquet size,negative,price complaints
CUST277,False,11,2805000.0,31305000.0,one year,mailed check,Always satisfied with my orders,positive,general feedback
CUST278,True,6,3000000.0,18000000.0,month-to-month,electronic check,Expected more variety,negative,bouquet preferences
CUST279,False,14,2905000.0,41300000.0,two year,credit card,Highly recommend for quality and service,positive,general feedback
CUST280,True,7,3100000.0,21700000.0,month-to-month,bank transfer,Not impressed with the flower freshness,negative,product quality
CUST281,False,12,2900000.0,34800000.0,one year,electronic check,Subscription brings joy,positive,general feedback
CUST282,True,8,3400000.0,27200000.0,month-to-month,mailed check,Quality has declined over time,negative,product quality
